file,line,feature,runtimeOrTypeOnly,importPath,importedSymbols,needsImportUpdateOnMove,testWorkspaceImpact,tmpReference
tmp/check_detail_history_view_ui_move_hr2.mjs,9,tmp,reference,(reference),,False,False,True
tmp/check_detail_history_view_ui_move_hr2.mjs,29,tmp,reference,(reference),,False,False,True
tmp/check_detail_history_view_ui_move_hr2.mjs,72,tmp,reference,(reference),,False,False,True
tmp/check_detail_history_view_ui_move_hr2.mjs,93,tmp,runtime,checks.new_detail_imports_historyStore =,,False,False,True
tmp/check_detail_history_view_ui_move_hr2.mjs,94,tmp,reference,(reference),,False,False,True
tmp/check_detail_history_view_ui_move_hr2.mjs,144,tmp,reference,(reference),,False,False,True
tmp/check_detail_history_view_ui_move_hr2.mjs,149,tmp,reference,(reference),,False,False,True
tmp/check_detail_history_view_ui_move_hr2.mjs,206,tmp,reference,(reference),,False,False,True
tmp/check_detail_history_view_ui_move_hr2.mjs,215,tmp,runtime,"""new_detail_imports_historyStore"",",,False,False,True
tmp/check_detail_history_view_ui_move_hr2.mjs,224,tmp,reference,(reference),,False,False,True
tmp/check_lib_clean_json_builder_common_move_1d.mjs,39,tmp,reference,(reference),,False,False,True
tmp/check_history_popup_ui_move_hr1.mjs,8,tmp,reference,(reference),,False,False,True
tmp/check_history_popup_ui_move_hr1.mjs,36,tmp,reference,(reference),,False,False,True
tmp/check_history_popup_ui_move_hr1.mjs,89,tmp,reference,(reference),,False,False,True
tmp/check_history_popup_ui_move_hr1.mjs,141,tmp,reference,(reference),,False,False,True
tmp/check_history_popup_ui_move_hr1.mjs,145,tmp,reference,(reference),,False,False,True
tmp/check_history_popup_ui_move_hr1.mjs,149,tmp,reference,(reference),,False,False,True
tmp/check_history_popup_ui_move_hr1.mjs,150,tmp,reference,(reference),,False,False,True
tmp/check_history_popup_ui_move_hr1.mjs,209,tmp,reference,(reference),,False,False,True
tmp/check_history_popup_ui_move_hr1.mjs,223,tmp,reference,(reference),,False,False,True
tmp/check_lib_invoice_field_labels_common_move_1b.mjs,57,tmp,reference,(reference),,False,False,True
tmp/check_lib_invoice_table_display_common_move_1e.mjs,47,tmp,reference,(reference),,False,False,True
src/components/history/HistoryWorkspace.tsx,9,history,type-only,"import { readHistoryListWithFallback, readHistoryDetailWithFallback, deleteHistoryRun, clearHistoryRuns, hydrateHistoryRecordImages, type RunStatus, type HistoryRunRecord } from ""@/lib/historyStore"";","{ readHistoryListWithFallback, readHistoryDetailWithFallback, deleteHistoryRun, clearHistoryRuns, hydrateHistoryRecordImages, type RunStatus, type HistoryRunRecord }",True,False,False
src/components/history/HistoryWorkspace.tsx,42,history,reference,(reference),,False,False,False
tmp/check_lib_structured_table_view_model_common_move_1f.mjs,32,tmp,reference,(reference),,False,False,True
tmp/check_lib_ocr_result_formatters_common_move_1a.mjs,49,tmp,reference,(reference),,False,False,True
tmp/check_lib_markdown_report_builder_common_move_1c.mjs,37,tmp,reference,(reference),,False,False,True
src/components/history/ui/DetailHistoryView.tsx,12,history,reference,(reference),,True,False,False
tmp/check_runocr_response_mapping_boundary_2c.mjs,63,tmp,runtime,"// 5) mapOcrResponse.ts must NOT import autofillEngine, historyStore,",,False,False,True
tmp/check_runocr_response_mapping_boundary_2c.mjs,74,tmp,reference,(reference),,False,False,True
src/components/runocr/RunOcrWorkspace.tsx,37,runocr,type-only,"import { appendHistoryRun, updateHistoryRun, syncHistoryIndexAndDetailOnCreate, type HistoryDetailDocumentFields, type HistoryOcrField, type HistoryOutputField } from ""@/lib/historyStore"";","{ appendHistoryRun, updateHistoryRun, syncHistoryIndexAndDetailOnCreate, type HistoryDetailDocumentFields, type HistoryOcrField, type HistoryOutputField }",True,False,False
src/lib/groundTruthStore.ts,5,lib,type-only,"import type { HistoryOutputField } from ""./historyStore"";",type { HistoryOutputField },True,False,False
src/lib/autofillEngine.ts,2,lib,type-only,"import { readHistoryRuns, type HistoryOutputField } from ""./historyStore"";","{ readHistoryRuns, type HistoryOutputField }",True,False,False
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,175,tmp,reference,(reference),,True,False,True
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,186,tmp,reference,(reference),,False,False,True
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,222,tmp,reference,(reference),,False,False,True
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,265,tmp,reference,(reference),,False,False,True
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,272,tmp,reference,(reference),,False,False,True
tmp/codex_frontend_detail_history_view_ui_move_precheck.py,313,tmp,reference,(reference),,False,False,True
