file,line,feature,runtimeOrTypeOnly,importPath,importedSymbols,needsImportUpdateOnMove,testWorkspaceImpact,testCoreImpact,tmpReference
tmp/check_history_store_common_storage_move_cs2.mjs,39,tmp,reference,(reference),,False,False,False,True
tmp/check_lib_invoice_field_labels_common_move_1b.mjs,55,tmp,reference,(reference),,False,False,False,True
tmp/check_lib_clean_json_builder_common_move_1d.mjs,37,tmp,reference,(reference),,False,False,False,True
tmp/check_lib_markdown_report_builder_common_move_1c.mjs,35,tmp,reference,(reference),,False,False,False,True
tmp/check_image_store_common_storage_move_cs1.mjs,44,tmp,reference,(reference),,False,False,False,True
tmp/check_lib_invoice_table_display_common_move_1e.mjs,45,tmp,reference,(reference),,False,False,False,True
tmp/check_lib_ocr_result_formatters_common_move_1a.mjs,47,tmp,reference,(reference),,False,False,False,True
tmp/check_lib_structured_table_view_model_common_move_1f.mjs,30,tmp,reference,(reference),,False,False,False,True
src/lib/autofillEngine.ts,1,lib,runtime,"import { normalizeBizNumber } from ""./bizNumber"";",{ normalizeBizNumber },True,False,False,False
src/lib/profiles.ts,45,lib,reference,(reference),,False,False,False,False
src/lib/profiles.ts,146,lib,reference,(reference),,False,False,False,False
src/lib/profiles.ts,214,lib,reference,(reference),,False,False,False,False
src/app/api/biz-validate/route.ts,6,app,reference,(reference),,False,False,False,False
src/app/api/biz-validate/route.ts,7,app,reference,(reference),,False,False,False,False
src/app/api/biz-validate/route.ts,13,app,reference,(reference),,False,False,False,False
src/app/api/biz-validate/route.ts,21,app,reference,(reference),,False,False,False,False
tmp/codex_frontend_biz_number_common_move_precheck.py,19,tmp,reference,(reference),,False,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,20,tmp,reference,(reference),,False,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,106,tmp,reference,(reference),,False,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,107,tmp,reference,(reference),,True,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,108,tmp,reference,(reference),,True,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,109,tmp,reference,(reference),,True,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,110,tmp,reference,(reference),,True,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,136,tmp,reference,(reference),,True,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,137,tmp,reference,(reference),,True,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,138,tmp,reference,(reference),,True,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,139,tmp,reference,(reference),,True,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,210,tmp,runtime,"""notes"": ""TestWorkspace and test/core import bizNumber directly; move impact is import path-only, but TestWorkspace policy should be explicitly acknowledged in move step."",",,False,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,214,tmp,runtime,"""bizNumberImportsOtherLib"": len(imports) > 0,",,False,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,215,tmp,reference,(reference),,True,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,216,tmp,reference,(reference),,False,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,217,tmp,reference,(reference),,True,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,218,tmp,reference,(reference),,True,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,221,tmp,runtime,"""cycleRisk"": ""LOW: bizNumber has no imports."",",,False,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,222,tmp,reference,(reference),,False,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,260,tmp,reference,(reference),,False,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,290,tmp,runtime,"""summary"": ""Move only bizNumber.ts to src/common/utils/bizNumber.ts and update import paths."",",,False,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,293,tmp,runtime,"""reason"": ""bizNumber is pure normalize/validate/extract helper shared by app and test code. TestWorkspace/test-core impact is import path-only."",",,False,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,299,tmp,reference,(reference),,False,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,300,tmp,reference,(reference),,False,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,301,tmp,runtime,"""src/common/utils/bizNumber.ts가 components/*를 import하지 않음"",",,False,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,303,tmp,reference,(reference),,True,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,312,tmp,runtime,"""실제 move 단계는 bizNumber 단일 파일 이동과 import path 보정만 수행한다."",",,False,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,345,tmp,reference,(reference),,False,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,401,tmp,reference,(reference),,False,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,410,tmp,reference,(reference),,False,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,449,tmp,runtime,- bizNumber가 다른 lib를 import하는지: {dependency_impact['bizNumberImportsOtherLib']},,False,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,450,tmp,reference,(reference),,False,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,466,tmp,runtime,"| src/common/utils/bizNumber.ts | YES | shared pure util 위치, RunOCR/History/Test/autofill 공유 | TestWorkspace/test-core import path 보정 필요 | MEDIUM |",,False,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,468,tmp,runtime,| src/components/test/utils/bizNumber.ts | NO | Test feature-local | app code가 test util을 import하게 됨 | HIGH |,,False,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,473,tmp,reference,(reference),,False,False,False,True
tmp/codex_frontend_biz_number_common_move_precheck.py,492,tmp,runtime,- BZ-1 move에서 bizNumber 단일 파일 이동과 import path 보정만 수행한다.,,False,False,False,True
src/components/test/TestWorkspace.tsx,4,test,runtime,"import { extractBizNumber, normalizeBizNumber } from ""@/lib/bizNumber"";","{ extractBizNumber, normalizeBizNumber }",True,True,False,False
src/components/test/TestWorkspace.tsx,52,test,reference,(reference),,False,True,False,False
src/components/test/TestWorkspace.tsx,1169,test,reference,(reference),,False,True,False,False
src/components/test/TestWorkspace.tsx,3785,test,reference,(reference),,False,True,False,False
src/components/test/TestWorkspace.tsx,3786,test,reference,(reference),,False,True,False,False
src/components/test/TestWorkspace.tsx,3793,test,reference,(reference),,False,True,False,False
src/components/test/TestWorkspace.tsx,3855,test,reference,(reference),,False,True,False,False
src/components/test/TestWorkspace.tsx,3857,test,reference,(reference),,False,True,False,False
src/components/test/TestWorkspace.tsx,3859,test,reference,(reference),,False,True,False,False
src/components/test/TestWorkspace.tsx,3880,test,reference,(reference),,False,True,False,False
src/components/test/TestWorkspace.tsx,3888,test,reference,(reference),,False,True,False,False
src/components/test/TestWorkspace.tsx,3932,test,reference,(reference),,False,True,False,False
src/components/test/TestWorkspace.tsx,5410,test,reference,(reference),,False,True,False,False
src/components/test/TestWorkspace.tsx,5411,test,reference,(reference),,False,True,False,False
src/components/test/TestWorkspace.tsx,5750,test,reference,(reference),,False,True,False,False
tmp/codex_frontend_common_storage_boundary_precheck.py,27,tmp,reference,(reference),,False,False,False,True
tmp/codex_frontend_common_storage_boundary_precheck.py,48,tmp,reference,(reference),,False,False,False,True
tmp/codex_frontend_common_storage_boundary_precheck.py,213,tmp,reference,(reference),,False,False,False,True
tmp/codex_frontend_common_storage_boundary_precheck.py,214,tmp,reference,(reference),,False,False,False,True
tmp/codex_frontend_common_storage_boundary_precheck.py,216,tmp,reference,(reference),,False,False,False,True
tmp/codex_frontend_common_storage_boundary_precheck.py,380,tmp,reference,(reference),,False,False,False,True
tmp/codex_frontend_common_storage_boundary_precheck.py,385,tmp,reference,(reference),,False,False,False,True
tmp/codex_frontend_common_storage_boundary_precheck.py,447,tmp,reference,(reference),,False,False,False,True
tmp/codex_frontend_common_storage_boundary_precheck.py,533,tmp,reference,(reference),,False,False,False,True
tmp/codex_frontend_common_storage_boundary_precheck.py,590,tmp,reference,(reference),,False,False,False,True
tmp/codex_frontend_common_storage_boundary_precheck.py,612,tmp,reference,(reference),,False,False,False,True
tmp/codex_frontend_common_storage_boundary_precheck.py,641,tmp,reference,(reference),,False,False,False,True
tmp/codex_frontend_common_storage_boundary_precheck.py,652,tmp,runtime,"- bizNumber: {test_impact_for('src/lib/bizNumber.ts', next(i for i in files if i['currentPath'] == 'src/lib/bizNumber.ts')['importedBy'])}",,False,False,False,True
src/components/history/ui/DetailHistoryView.tsx,27,history,runtime,"import { normalizeBizNumber } from ""@/lib/bizNumber"";",{ normalizeBizNumber },True,False,False,False
