file,importPath,importKind,importedSymbols,feature,needsImportUpdateOnMove,testWorkspaceImpact
src/components/runocr/ui/OcrResultPanel.tsx,@/lib/ocrResultFormatters,static,"{ fieldLabel, fieldLabelFull, getAdoptionLabel, isAmountLikeField, parseTableField, }",runocr,True,False
src/lib/markdownReportBuilder.ts,@/lib/ocrResultFormatters,static,"this file. They consume * the shared formatters in ocrResultFormatters.ts. Only the markdown copy / * export / preview-markdown-render code paths import buildMarkdownReport. * * Markdown v1 contract (unchanged in this extraction): * - First line: ""# OCR 결과"" * - ""- 처리 시간: **N.NNs**"" and ""- 필드 수: **N건**"" summary bullets * - Markdown table: No / 필드명 / 값 / 신뢰도 / 채택 * - One row per field, in `fields` order * - field_type === ""table"" rows render only ""표 데이터 (N행)"" summary, * where N comes from docTableRows.length if available, else from the * legacy parseTableField rowLabel * - Pipe and newline in label/value are escaped via `esc()` * - Line endings are ""\n"" only (matches LF fixture policy) */ import { fieldLabelFull, getAdoptionLabel, parseTableField, type OcrFormatterField, }",lib,True,False
