file,line,feature,runtimeOrTypeOnly,importPath,importedSymbols,needsImportUpdateOnMove,testWorkspaceImpact,tmpReference
tmp/check_lib_invoice_field_labels_common_move_1b.mjs,58,tmp,reference,(reference),,False,False,True
tmp/check_lib_ocr_result_formatters_common_move_1a.mjs,50,tmp,reference,(reference),,False,False,True
tmp/check_lib_invoice_table_display_common_move_1e.mjs,48,tmp,reference,(reference),,False,False,True
tmp/check_lib_markdown_report_builder_common_move_1c.mjs,38,tmp,reference,(reference),,False,False,True
tmp/check_history_popup_ui_move_hr1.mjs,8,tmp,reference,(reference),,False,False,True
tmp/check_history_popup_ui_move_hr1.mjs,37,tmp,reference,(reference),,False,False,True
tmp/check_history_popup_ui_move_hr1.mjs,90,tmp,reference,(reference),,False,False,True
tmp/check_history_popup_ui_move_hr1.mjs,141,tmp,reference,(reference),,False,False,True
tmp/check_history_popup_ui_move_hr1.mjs,146,tmp,reference,(reference),,False,False,True
tmp/check_history_popup_ui_move_hr1.mjs,151,tmp,reference,(reference),,False,False,True
tmp/check_history_popup_ui_move_hr1.mjs,152,tmp,reference,(reference),,False,False,True
tmp/check_history_popup_ui_move_hr1.mjs,210,tmp,reference,(reference),,False,False,True
tmp/check_history_popup_ui_move_hr1.mjs,224,tmp,reference,(reference),,False,False,True
tmp/check_lib_clean_json_builder_common_move_1d.mjs,40,tmp,reference,(reference),,False,False,True
tmp/check_lib_structured_table_view_model_common_move_1f.mjs,33,tmp,reference,(reference),,False,False,True
tmp/check_detail_history_view_ui_move_hr2.mjs,9,tmp,reference,(reference),,False,False,True
tmp/check_detail_history_view_ui_move_hr2.mjs,30,tmp,reference,(reference),,False,False,True
tmp/check_detail_history_view_ui_move_hr2.mjs,73,tmp,reference,(reference),,False,False,True
tmp/check_detail_history_view_ui_move_hr2.mjs,145,tmp,reference,(reference),,False,False,True
tmp/check_detail_history_view_ui_move_hr2.mjs,150,tmp,reference,(reference),,False,False,True
tmp/check_detail_history_view_ui_move_hr2.mjs,207,tmp,reference,(reference),,False,False,True
tmp/check_detail_history_view_ui_move_hr2.mjs,225,tmp,reference,(reference),,False,False,True
tmp/check_runocr_response_mapping_boundary_2c.mjs,64,tmp,reference,(reference),,False,False,True
