file,importPath,importedSymbols,feature,needsImportUpdateOnMove,testWorkspaceImpact
src/components/runocr/ui/OcrResultPanel.tsx,@/lib/structuredTableViewModel,"React, { useEffect, useMemo, useRef, useState } from ""react""; import Markdown from ""react-markdown""; import remarkGfm from ""remark-gfm""; import type { AutofillAction, AutofillRunSummary, AutofillSuggestion, OutputValueSource } from ""@/lib/autofillEngine""; import { getGroundTruth, compareToGt, fieldKey } from ""@/lib/groundTruthStore""; import { useUi } from ""../../common/AppProviders""; import { INVOICE_COL_LABEL_MAP as _ALL_COL_LABEL_MAP, isInternalTableKey as isInternalKey, normalizeTableCell as normalizeCell, isMeaninglessTableValue as isMeaningless, hasMeaningfulTableValue as hasMeaningfulValue, buildInvoicePreviewCols, } from ""@/common/utils/invoiceTableDisplay""; import { buildCleanJsonResult, type CleanJsonResult } from ""@/common/utils/cleanJsonBuilder""; import { fieldLabel, fieldLabelFull, getAdoptionLabel, isAmountLikeField, parseTableField, } from ""@/common/utils/ocrResultFormatters""; import { buildMarkdownReport } from ""@/common/utils/markdownReportBuilder""; import { buildStructuredTableViewModel }",runocr,True,False
tmp/codex_frontend_lib_clean_json_builder_common_move_precheck.py,@/lib/structuredTableViewModel,,unknown,True,False
tmp/codex_frontend_lib_structured_table_view_model_common_move_precheck.py,@/lib/structuredTableViewModel,,unknown,True,False
tmp/codex_frontend_lib_structured_table_view_model_common_move_precheck.py,@/common/utils/structuredTableViewModel,,unknown,False,False
tmp/codex_frontend_lib_structured_table_view_model_common_move_precheck.py,../lib/structuredTableViewModel,,unknown,True,False
tmp/codex_frontend_lib_structured_table_view_model_common_move_precheck.py,../../lib/structuredTableViewModel,,unknown,True,False
tmp/codex_frontend_lib_structured_table_view_model_common_move_precheck.py,./structuredTableViewModel,,unknown,True,False
